Produto,Preço,Pgto.,Nº Parcelas,Data,Cliente,E-mail,DDD,Telefone
Produto A,R$ 1000,Pix,11,07/12/2018,Pedro Almeida,pedroalmeida@yahoo.com,97,961543171
Produto C,R$ 500,Boleto Bancário,1,04/04/2018,Mariana Silva,marianasilva@yahoo.com,62,974119525
Produto A,R$ 1200,Pix,3,01/01/2018,Tércio Santos,térciosantos@hotmail.com,62,993157852
Produto A,R$ 1000,Boleto Bancário,4,31/12/2018,Mariana Costa,marianacosta@yahoo.com,88,933708364
Produto A,R$ 1200,Boleto Bancário,12,06/03/2018,Tércio Almeida,tércioalmeida@gmail.com,54,922616034
Produto A,R$ 1200,Boleto Bancário,10,08/07/2018,Samuel Souza,samuelsouza@gmail.com,42,967976237
Produto C,R$ 1200,Pix,11,30/06/2018,Jhonn Silva,jhonnsilva@outlook.com,17,923948736
Produto A,R$ 1000,Boleto Bancário,5,26/02/2018,Alefy Almeida,alefyalmeida@yahoo.com,20,985644164
Produto A,R$ 1000,Pix,12,29/01/2018,Danubia Pereira,danubiapereira@hotmail.com,19,917012841
Produto A,R$ 500,Cartão de Crédito,5,19/05/2018,Jonatas Martins,jonatasmartins@yahoo.com,55,968405280
Produto A,R$ 1000,Boleto Bancário,7,04/10/2018,Pedro Souza,pedrosouza@gmail.com,24,958416702
Produto C,R$ 750,Cartão de Crédito,3,19/09/2018,Mariana Oliveira,marianaoliveira@yahoo.com,63,929949409
Produto B,R$ 1000,Cartão de Crédito,8,06/10/2018,Presley Pereira,presleypereira@gmail.com,33,947742245
Produto A,R$ 1200,Pix,12,20/04/2018,Presley Pereira,presleypereira@outlook.com,83,970755247
Produto A,R$ 750,Pix,7,11/04/2018,Tércio Silva,térciosilva@yahoo.com,37,980017726
Produto C,R$ 500,Cartão de Crédito,5,12/02/2018,Pedro Silva,pedrosilva@gmail.com,27,972148226
Produto A,R$ 500,Cartão de Crédito,10,30/12/2018,Tonny Oliveira,tonnyoliveira@outlook.com,50,982441875
Produto B,R$ 1200,Cartão de Crédito,10,07/10/2018,Lucas Santos,lucassantos@gmail.com,27,930266302
Produto A,R$ 750,Boleto Bancário,4,12/11/2018,Tonny Pereira,tonnypereira@gmail.com,64,907867055
Produto A,R$ 1000,Pix,2,16/04/2018,Lucas Silva,lucassilva@outlook.com,72,995011256
Produto A,R$ 1000,Pix,1,31/10/2018,Jonatas Santos,jonatassantos@hotmail.com,55,964417850
Produto A,R$ 750,Pix,3,01/11/2018,Alefy Souza,alefysouza@yahoo.com,74,955816243
Produto B,R$ 1000,Boleto Bancário,5,08/03/2018,Rafael Souza,rafaelsouza@hotmail.com,77,909553433
Produto A,R$ 500,Cartão de Crédito,6,08/03/2018,Paula Costa,paulacosta@yahoo.com,33,933355467
Produto C,R$ 500,Boleto Bancário,8,13/03/2018,Lucas Silva,lucassilva@hotmail.com,73,973717163
Produto B,R$ 750,Boleto Bancário,5,16/09/2018,Elaine Almeida,elainealmeida@outlook.com,38,937787143
Produto C,R$ 750,Boleto Bancário,7,28/08/2018,Presley Costa,presleycosta@hotmail.com,93,946194396
Produto C,R$ 750,Pix,4,04/05/2018,Paula Souza,paulasouza@outlook.com,17,977589848
Produto B,R$ 750,Pix,7,08/09/2018,Rafael Costa,rafaelcosta@hotmail.com,69,965890373
Produto B,R$ 750,Cartão de Crédito,8,16/08/2018,Samuel Pereira,samuelpereira@outlook.com,24,969303986
Produto B,R$ 750,Boleto Bancário,11,22/01/2018,Tércio Martins,térciomartins@outlook.com,51,903313761
Produto C,R$ 750,Cartão de Crédito,5,02/07/2018,Tonny Almeida,tonnyalmeida@hotmail.com,43,949258997
Produto A,R$ 750,Cartão de Crédito,9,13/06/2018,Presley Oliveira,presleyoliveira@gmail.com,22,953899436
Produto C,R$ 500,Pix,2,21/03/2018,Paula Oliveira,paulaoliveira@hotmail.com,21,916689383
Produto B,R$ 1000,Boleto Bancário,11,07/09/2018,Presley Santos,presleysantos@outlook.com,77,990250389
Produto A,R$ 1000,Boleto Bancário,6,02/10/2018,Tércio Souza,térciosouza@hotmail.com,85,922771948
Produto C,R$ 1200,Boleto Bancário,6,17/03/2018,Elaine Pereira,elainepereira@outlook.com,97,922151979
Produto A,R$ 500,Boleto Bancário,5,29/05/2018,Lucas Oliveira,lucasoliveira@yahoo.com,24,954328620
Produto A,R$ 500,Cartão de Crédito,7,15/06/2018,Mariana Pereira,marianapereira@gmail.com,77,980361534
Produto B,R$ 1200,Cartão de Crédito,3,04/09/2018,Paula Costa,paulacosta@outlook.com,91,943744193
Produto A,R$ 1200,Boleto Bancário,12,14/05/2018,Presley Almeida,presleyalmeida@yahoo.com,39,968361617
Produto C,R$ 750,Pix,10,04/10/2018,Rafael Costa,rafaelcosta@gmail.com,62,946338779
Produto B,R$ 750,Cartão de Crédito,7,07/08/2018,Elaine Silva,elainesilva@outlook.com,16,931401619
Produto A,R$ 1200,Pix,12,05/07/2018,Mariana Almeida,marianaalmeida@hotmail.com,16,994141958
Produto B,R$ 1200,Cartão de Crédito,5,05/10/2018,Jhonn Silva,jhonnsilva@yahoo.com,38,957979477
Produto A,R$ 1000,Pix,5,15/06/2018,Tércio Martins,térciomartins@yahoo.com,96,922289190
Produto B,R$ 1000,Pix,6,11/03/2018,Alefy Santos,alefysantos@outlook.com,73,949335075
Produto B,R$ 750,Boleto Bancário,10,07/08/2018,Tonny Martins,tonnymartins@yahoo.com,44,906571571
Produto B,R$ 500,Pix,1,17/04/2018,Bianca Almeida,biancaalmeida@outlook.com,87,946282395
Produto A,R$ 750,Pix,1,12/04/2018,Pedro Oliveira,pedrooliveira@outlook.com,43,959926258
Produto B,R$ 750,Boleto Bancário,8,22/07/2018,Pedro Almeida,pedroalmeida@gmail.com,63,983286023
Produto C,R$ 750,Cartão de Crédito,4,27/08/2018,Mariana Pereira,marianapereira@hotmail.com,58,974870659
Produto A,R$ 1000,Pix,11,07/07/2018,Pedro Souza,pedrosouza@yahoo.com,86,930709889
Produto A,R$ 750,Cartão de Crédito,10,12/04/2018,Jhonn Santos,jhonnsantos@yahoo.com,79,990655515
Produto C,R$ 500,Boleto Bancário,9,05/03/2018,Alefy Martins,alefymartins@hotmail.com,14,975115767
Produto A,R$ 750,Boleto Bancário,4,12/09/2018,Tonny Oliveira,tonnyoliveira@hotmail.com,20,920863596
Produto A,R$ 1000,Pix,12,15/03/2018,Lucas Santos,lucassantos@gmail.com,93,911594896
Produto A,R$ 750,Pix,7,10/01/2018,Elaine Santos,elainesantos@outlook.com,86,915584433
Produto C,R$ 1000,Cartão de Crédito,9,08/07/2018,Pedro Martins,pedromartins@gmail.com,32,952170121
Produto A,R$ 1000,Cartão de Crédito,8,07/12/2018,Danubia Costa,danubiacosta@yahoo.com,87,973151495
Produto B,R$ 500,Cartão de Crédito,11,26/01/2018,Pedro Costa,pedrocosta@gmail.com,40,941953556
Produto A,R$ 500,Cartão de Crédito,6,22/05/2018,Danubia Costa,danubiacosta@gmail.com,31,917861616
Produto B,R$ 500,Boleto Bancário,1,08/02/2018,Jonatas Oliveira,jonatasoliveira@outlook.com,31,900487307
Produto B,R$ 1000,Pix,11,21/08/2018,Alefy Silva,alefysilva@gmail.com,50,950699944
Produto C,R$ 1000,Pix,3,08/07/2018,Mariana Souza,marianasouza@gmail.com,92,942995669
Produto C,R$ 1200,Boleto Bancário,11,03/02/2018,Tamires Silva,tamiressilva@gmail.com,57,959331691
Produto B,R$ 1200,Boleto Bancário,8,03/01/2018,Presley Silva,presleysilva@hotmail.com,39,984521473
Produto C,R$ 1000,Cartão de Crédito,12,30/04/2018,Lucas Almeida,lucasalmeida@outlook.com,23,991857927
Produto C,R$ 1200,Cartão de Crédito,12,16/01/2018,Tamires Almeida,tamiresalmeida@gmail.com,45,956543664
Produto C,R$ 750,Boleto Bancário,3,10/03/2018,Tamires Silva,tamiressilva@outlook.com,14,974392688
Produto A,R$ 1000,Boleto Bancário,10,08/03/2018,Danubia Silva,danubiasilva@hotmail.com,41,922694111
Produto A,R$ 500,Boleto Bancário,11,22/08/2018,Jhonn Souza,jhonnsouza@outlook.com,41,942812577
Produto B,R$ 1000,Pix,7,23/02/2018,Samuel Martins,samuelmartins@yahoo.com,51,941309418
Produto C,R$ 1000,Pix,5,07/12/2018,Danubia Pereira,danubiapereira@outlook.com,51,973840714
Produto C,R$ 1000,Boleto Bancário,12,04/12/2018,Mariana Souza,marianasouza@hotmail.com,31,947828812
Produto C,R$ 1000,Pix,9,28/08/2018,Tércio Almeida,tércioalmeida@yahoo.com,96,911256036
Produto A,R$ 1000,Cartão de Crédito,3,12/01/2018,Jhonn Souza,jhonnsouza@yahoo.com,81,946140069
Produto C,R$ 750,Pix,10,17/10/2018,Bianca Martins,biancamartins@hotmail.com,16,930436099
Produto A,R$ 750,Cartão de Crédito,5,22/08/2018,Pedro Almeida,pedroalmeida@outlook.com,68,910810961
Produto C,R$ 1200,Boleto Bancário,10,21/07/2018,Mariana Oliveira,marianaoliveira@gmail.com,17,994093363
Produto B,R$ 500,Pix,9,04/09/2018,Alefy Almeida,alefyalmeida@gmail.com,48,987415615
Produto C,R$ 1000,Boleto Bancário,6,18/02/2018,Alefy Silva,alefysilva@yahoo.com,14,955113612
Produto A,R$ 1200,Boleto Bancário,12,29/01/2018,Bianca Costa,biancacosta@hotmail.com,77,916782708
Produto A,R$ 1000,Cartão de Crédito,5,13/02/2018,Pedro Silva,pedrosilva@yahoo.com,69,957732663
Produto C,R$ 750,Cartão de Crédito,7,22/01/2018,Samuel Almeida,samuelalmeida@yahoo.com,21,937968963
Produto C,R$ 500,Boleto Bancário,1,29/07/2018,Jonatas Pereira,jonataspereira@hotmail.com,53,977380666
Produto B,R$ 1200,Cartão de Crédito,6,12/04/2018,Jonatas Souza,jonatassouza@yahoo.com,43,974497804
Produto B,R$ 1200,Pix,6,08/01/2018,Bianca Pereira,biancapereira@hotmail.com,71,932731817
Produto A,R$ 750,Pix,1,19/07/2018,Mariana Almeida,marianaalmeida@yahoo.com,86,917236898
Produto C,R$ 1200,Boleto Bancário,6,12/05/2018,Rafael Oliveira,rafaeloliveira@yahoo.com,84,943244730
Produto C,R$ 1200,Boleto Bancário,3,03/03/2018,Bianca Costa,biancacosta@yahoo.com,16,988036847
Produto C,R$ 1200,Pix,8,01/05/2018,Tércio Pereira,térciopereira@gmail.com,59,944584632
Produto B,R$ 1000,Cartão de Crédito,9,25/10/2018,Tonny Souza,tonnysouza@gmail.com,63,902303760
Produto A,R$ 1200,Boleto Bancário,6,25/07/2018,Presley Oliveira,presleyoliveira@hotmail.com,79,948711042
Produto B,R$ 750,Cartão de Crédito,2,04/03/2018,Danubia Silva,danubiasilva@yahoo.com,51,931894156
Produto C,R$ 1000,Boleto Bancário,4,13/04/2018,Pedro Silva,pedrosilva@gmail.com,17,966099967
Produto A,R$ 1200,Boleto Bancário,9,29/07/2018,Jhonn Pereira,jhonnpereira@hotmail.com,82,992789022
Produto C,R$ 1200,Boleto Bancário,8,12/10/2018,Pedro Pereira,pedropereira@yahoo.com,20,961045542
Produto C,R$ 750,Pix,11,05/10/2018,Elaine Costa,elainecosta@yahoo.com,22,996064610
Produto B,R$ 750,Cartão de Crédito,3,20/04/2018,Samuel Silva,samuelsilva@yahoo.com,83,925280382
Produto A,R$ 750,Boleto Bancário,4,04/02/2018,Pedro Souza,pedrosouza@outlook.com,39,963248697
Produto A,R$ 1000,Pix,12,22/12/2018,Presley Oliveira,presleyoliveira@gmail.com,92,964115711
Produto B,R$ 500,Pix,6,27/04/2018,Rafael Almeida,rafaelalmeida@gmail.com,99,981253520
Produto C,R$ 1200,Cartão de Crédito,10,01/10/2018,Jhonn Pereira,jhonnpereira@hotmail.com,95,974857834
Produto C,R$ 1000,Pix,6,30/07/2018,Mariana Pereira,marianapereira@gmail.com,77,977130148
Produto B,R$ 1000,Pix,4,29/11/2018,Paula Silva,paulasilva@gmail.com,90,934676055
Produto A,R$ 1200,Cartão de Crédito,11,21/11/2018,Alefy Almeida,alefyalmeida@gmail.com,49,951626488
Produto C,R$ 500,Pix,11,05/02/2018,Tonny Costa,tonnycosta@hotmail.com,27,910384187
Produto B,R$ 1000,Boleto Bancário,11,11/03/2018,Rafael Costa,rafaelcosta@gmail.com,74,921705416
Produto C,R$ 500,Pix,7,15/11/2018,Samuel Souza,samuelsouza@hotmail.com,38,955728861
Produto A,R$ 1200,Pix,3,24/07/2018,Jhonn Silva,jhonnsilva@gmail.com,53,922058124
Produto C,R$ 1000,Boleto Bancário,3,15/11/2018,Elaine Silva,elainesilva@outlook.com,86,987351652
Produto B,R$ 1000,Pix,1,03/11/2018,Jhonn Pereira,jhonnpereira@outlook.com,84,987546129
Produto A,R$ 1000,Boleto Bancário,3,02/05/2018,Samuel Oliveira,samueloliveira@gmail.com,16,902180019
Produto A,R$ 1000,Boleto Bancário,3,20/09/2018,Paula Souza,paulasouza@hotmail.com,53,900819771
Produto C,R$ 500,Pix,7,12/10/2018,Tamires Costa,tamirescosta@gmail.com,55,984953206
Produto A,R$ 1200,Pix,12,09/12/2018,Tamires Oliveira,tamiresoliveira@gmail.com,58,959627387
Produto A,R$ 750,Boleto Bancário,12,07/05/2018,Samuel Santos,samuelsantos@hotmail.com,48,984128303
Produto C,R$ 750,Cartão de Crédito,5,23/12/2018,Tonny Santos,tonnysantos@gmail.com,75,917848707
Produto A,R$ 1000,Cartão de Crédito,10,30/12/2018,Alefy Oliveira,alefyoliveira@hotmail.com,66,961182925
Produto B,R$ 750,Pix,3,20/05/2018,Presley Souza,presleysouza@hotmail.com,53,970064664
Produto A,R$ 500,Boleto Bancário,1,11/01/2018,Lucas Souza,lucassouza@hotmail.com,56,963838752
Produto C,R$ 750,Pix,8,21/11/2018,Samuel Costa,samuelcosta@yahoo.com,13,952147624
Produto A,R$ 1200,Boleto Bancário,8,06/02/2018,Elaine Oliveira,elaineoliveira@yahoo.com,98,996289447
Produto A,R$ 1200,Boleto Bancário,7,05/12/2018,Presley Pereira,presleypereira@outlook.com,15,945312303
Produto A,R$ 500,Cartão de Crédito,11,31/07/2018,Jonatas Silva,jonatassilva@yahoo.com,32,980033514
Produto C,R$ 1200,Boleto Bancário,1,19/03/2018,Bianca Souza,biancasouza@outlook.com,36,925683857
Produto B,R$ 500,Cartão de Crédito,11,09/02/2018,Lucas Martins,lucasmartins@gmail.com,99,946085308
Produto B,R$ 750,Pix,3,28/03/2018,Presley Souza,presleysouza@gmail.com,79,949659624
Produto B,R$ 1200,Boleto Bancário,10,30/07/2018,Tonny Santos,tonnysantos@gmail.com,75,938673393
Produto A,R$ 1000,Boleto Bancário,4,05/04/2018,Alefy Costa,alefycosta@hotmail.com,94,900551544
Produto B,R$ 500,Boleto Bancário,2,23/11/2018,Paula Oliveira,paulaoliveira@outlook.com,67,905493885
Produto B,R$ 500,Boleto Bancário,12,14/10/2018,Elaine Pereira,elainepereira@yahoo.com,95,976857697
Produto A,R$ 750,Boleto Bancário,12,26/09/2018,Lucas Costa,lucascosta@gmail.com,82,958726378
Produto A,R$ 750,Cartão de Crédito,3,25/04/2018,Lucas Souza,lucassouza@yahoo.com,46,900148580
Produto C,R$ 750,Pix,11,01/01/2018,Tonny Costa,tonnycosta@gmail.com,83,969255492
Produto C,R$ 500,Pix,4,15/10/2018,Danubia Santos,danubiasantos@outlook.com,31,917118608
Produto A,R$ 1000,Cartão de Crédito,8,29/11/2018,Alefy Almeida,alefyalmeida@gmail.com,75,974360846
Produto B,R$ 750,Pix,5,15/10/2018,Paula Souza,paulasouza@yahoo.com,99,969539481
Produto C,R$ 1200,Boleto Bancário,7,05/07/2018,Elaine Oliveira,elaineoliveira@yahoo.com,84,915602086
Produto B,R$ 1000,Boleto Bancário,5,23/08/2018,Jonatas Martins,jonatasmartins@yahoo.com,22,908489657
Produto B,R$ 500,Boleto Bancário,5,31/10/2018,Tonny Martins,tonnymartins@yahoo.com,67,949038950
Produto C,R$ 750,Pix,2,05/06/2018,Pedro Martins,pedromartins@outlook.com,85,979037689
Produto A,R$ 500,Boleto Bancário,5,18/08/2018,Rafael Costa,rafaelcosta@gmail.com,90,963199098
Produto C,R$ 1200,Cartão de Crédito,5,20/02/2018,Lucas Pereira,lucaspereira@hotmail.com,70,951492485
Produto A,R$ 750,Boleto Bancário,5,20/04/2018,Alefy Pereira,alefypereira@gmail.com,40,994324227
Produto A,R$ 1200,Pix,10,11/09/2018,Alefy Oliveira,alefyoliveira@gmail.com,93,991430646
Produto B,R$ 750,Cartão de Crédito,2,19/11/2018,Rafael Santos,rafaelsantos@gmail.com,33,914486669
Produto B,R$ 1200,Cartão de Crédito,8,27/09/2018,Paula Oliveira,paulaoliveira@hotmail.com,39,999434817
Produto C,R$ 750,Cartão de Crédito,7,25/08/2018,Pedro Martins,pedromartins@gmail.com,28,903598735
Produto A,R$ 1000,Cartão de Crédito,9,15/12/2018,Pedro Silva,pedrosilva@outlook.com,19,917370117
Produto B,R$ 1000,Boleto Bancário,10,21/05/2018,Samuel Costa,samuelcosta@yahoo.com,81,950587537
Produto C,R$ 1200,Cartão de Crédito,2,17/08/2018,Tércio Silva,térciosilva@yahoo.com,84,949970999
Produto B,R$ 500,Cartão de Crédito,9,09/10/2018,Pedro Santos,pedrosantos@outlook.com,71,981344485
Produto A,R$ 1000,Cartão de Crédito,7,13/10/2018,Lucas Oliveira,lucasoliveira@hotmail.com,42,903916268
Produto B,R$ 1000,Pix,4,05/05/2018,Alefy Santos,alefysantos@gmail.com,38,960532989
Produto A,R$ 500,Pix,4,10/10/2018,Jhonn Pereira,jhonnpereira@hotmail.com,24,986678803
Produto A,R$ 500,Pix,6,02/07/2018,Tércio Souza,térciosouza@outlook.com,93,994822491
Produto B,R$ 1200,Cartão de Crédito,12,08/05/2018,Mariana Martins,marianamartins@gmail.com,61,980392923
Produto C,R$ 500,Cartão de Crédito,11,19/08/2018,Alefy Martins,alefymartins@gmail.com,60,968546140
Produto C,R$ 1200,Pix,8,30/05/2018,Alefy Oliveira,alefyoliveira@gmail.com,74,994662810
Produto B,R$ 750,Cartão de Crédito,3,04/12/2018,Pedro Costa,pedrocosta@outlook.com,18,965404283
Produto B,R$ 500,Cartão de Crédito,1,01/07/2018,Danubia Almeida,danubiaalmeida@hotmail.com,78,957079927
Produto A,R$ 1200,Cartão de Crédito,3,22/10/2018,Mariana Almeida,marianaalmeida@hotmail.com,61,954980122
Produto C,R$ 1200,Boleto Bancário,2,17/04/2018,Tamires Silva,tamiressilva@hotmail.com,63,959052333
Produto A,R$ 1000,Pix,10,25/09/2018,Paula Souza,paulasouza@gmail.com,36,985738076
Produto A,R$ 1000,Pix,7,14/07/2018,Alefy Costa,alefycosta@yahoo.com,71,973477979
Produto B,R$ 1000,Pix,1,20/04/2018,Alefy Almeida,alefyalmeida@gmail.com,71,907088373
Produto B,R$ 750,Pix,10,17/09/2018,Jonatas Silva,jonatassilva@gmail.com,65,983897914
Produto B,R$ 1000,Boleto Bancário,1,17/04/2018,Danubia Souza,danubiasouza@gmail.com,91,971064576
Produto A,R$ 1200,Cartão de Crédito,4,22/09/2018,Alefy Oliveira,alefyoliveira@hotmail.com,74,935422079
Produto C,R$ 1200,Cartão de Crédito,5,10/01/2018,Tonny Santos,tonnysantos@hotmail.com,50,961031988
Produto A,R$ 1000,Pix,1,02/11/2018,Presley Costa,presleycosta@outlook.com,81,947665410
Produto A,R$ 1200,Boleto Bancário,9,28/05/2018,Samuel Martins,samuelmartins@gmail.com,45,976294993
Produto C,R$ 1200,Pix,9,25/08/2018,Pedro Souza,pedrosouza@gmail.com,81,994324444
Produto C,R$ 1000,Boleto Bancário,1,29/04/2018,Jhonn Martins,jhonnmartins@yahoo.com,40,935423747
Produto C,R$ 1000,Boleto Bancário,2,11/02/2018,Tamires Silva,tamiressilva@outlook.com,51,967509262
Produto C,R$ 1200,Pix,2,01/01/2018,Mariana Oliveira,marianaoliveira@outlook.com,53,979746245
Produto B,R$ 1000,Cartão de Crédito,3,28/07/2018,Tércio Pereira,térciopereira@gmail.com,48,950784191
Produto B,R$ 1000,Cartão de Crédito,11,13/07/2018,Samuel Santos,samuelsantos@gmail.com,44,925772488
Produto A,R$ 1000,Boleto Bancário,5,28/07/2018,Tamires Oliveira,tamiresoliveira@outlook.com,81,918463333
Produto C,R$ 1200,Pix,6,23/02/2018,Alefy Costa,alefycosta@hotmail.com,89,916041970
Produto A,R$ 750,Pix,12,19/12/2018,Bianca Martins,biancamartins@outlook.com,55,950427039
Produto B,R$ 500,Pix,7,29/10/2018,Tamires Martins,tamiresmartins@hotmail.com,93,953113145
Produto B,R$ 500,Cartão de Crédito,12,04/08/2018,Presley Almeida,presleyalmeida@outlook.com,49,961965727
Produto C,R$ 1200,Cartão de Crédito,12,07/12/2018,Lucas Souza,lucassouza@outlook.com,17,956175743
Produto A,R$ 750,Boleto Bancário,5,01/05/2018,Tércio Pereira,térciopereira@gmail.com,69,923024798
Produto A,R$ 1200,Boleto Bancário,3,05/04/2018,Paula Silva,paulasilva@yahoo.com,31,985452140
Produto A,R$ 500,Cartão de Crédito,9,24/07/2018,Jhonn Almeida,jhonnalmeida@hotmail.com,27,915500422
Produto A,R$ 1000,Cartão de Crédito,3,22/05/2018,Pedro Costa,pedrocosta@hotmail.com,37,982586357
Produto A,R$ 500,Pix,7,08/09/2018,Elaine Pereira,elainepereira@yahoo.com,11,972384415
Produto B,R$ 500,Cartão de Crédito,1,01/09/2018,Elaine Santos,elainesantos@yahoo.com,78,973841795
Produto B,R$ 1000,Cartão de Crédito,1,29/03/2018,Pedro Oliveira,pedrooliveira@gmail.com,49,935845698
Produto A,R$ 1000,Pix,4,22/12/2018,Bianca Almeida,biancaalmeida@hotmail.com,82,939644035
Produto B,R$ 750,Cartão de Crédito,5,28/02/2018,Jhonn Martins,jhonnmartins@yahoo.com,62,955167813
Produto B,R$ 500,Pix,8,03/08/2018,Jhonn Oliveira,jhonnoliveira@yahoo.com,78,948906050
Produto C,R$ 500,Pix,4,21/03/2018,Mariana Almeida,marianaalmeida@hotmail.com,16,912069361
Produto B,R$ 1200,Boleto Bancário,12,01/01/2019,Tércio Martins,térciomartins@hotmail.com,34,945048508
Produto C,R$ 1000,Pix,12,28/12/2018,Mariana Silva,marianasilva@yahoo.com,83,911082576
Produto C,R$ 500,Cartão de Crédito,5,06/10/2018,Pedro Souza,pedrosouza@outlook.com,83,988277641
Produto A,R$ 750,Cartão de Crédito,5,19/07/2018,Lucas Martins,lucasmartins@gmail.com,11,900339239
Produto C,R$ 1200,Cartão de Crédito,5,30/07/2018,Jonatas Pereira,jonataspereira@gmail.com,60,999818688
Produto B,R$ 1000,Boleto Bancário,7,28/06/2018,Tamires Oliveira,tamiresoliveira@hotmail.com,20,940056247
Produto C,R$ 500,Pix,1,17/06/2018,Jhonn Costa,jhonncosta@outlook.com,79,921066046
Produto B,R$ 500,Cartão de Crédito,6,26/02/2018,Danubia Oliveira,danubiaoliveira@yahoo.com,60,952283340
Produto C,R$ 750,Boleto Bancário,3,24/03/2018,Elaine Costa,elainecosta@hotmail.com,54,971119037
Produto C,R$ 1200,Boleto Bancário,8,21/04/2018,Bianca Oliveira,biancaoliveira@gmail.com,54,935731379
Produto C,R$ 500,Pix,3,17/07/2018,Elaine Souza,elainesouza@outlook.com,70,976098044
Produto B,R$ 500,Boleto Bancário,8,09/05/2018,Lucas Costa,lucascosta@outlook.com,61,941046207
Produto A,R$ 500,Pix,5,09/09/2018,Paula Costa,paulacosta@yahoo.com,36,918195307
Produto A,R$ 1000,Cartão de Crédito,5,25/01/2018,Samuel Santos,samuelsantos@yahoo.com,46,985366494
Produto A,R$ 750,Pix,12,01/06/2018,Bianca Martins,biancamartins@outlook.com,41,966438194
Produto C,R$ 1200,Cartão de Crédito,1,03/08/2018,Lucas Santos,lucassantos@hotmail.com,63,979701801
Produto B,R$ 1200,Boleto Bancário,1,01/01/2019,Elaine Almeida,elainealmeida@hotmail.com,64,963775951
Produto A,R$ 750,Pix,6,11/01/2018,Bianca Silva,biancasilva@gmail.com,84,905830125
Produto B,R$ 750,Cartão de Crédito,8,15/02/2018,Bianca Costa,biancacosta@outlook.com,96,922778526
Produto A,R$ 1000,Pix,11,12/01/2018,Samuel Almeida,samuelalmeida@hotmail.com,33,929278242
Produto A,R$ 1000,Boleto Bancário,4,24/04/2018,Samuel Martins,samuelmartins@outlook.com,13,945467328
Produto C,R$ 1200,Boleto Bancário,1,17/09/2018,Jonatas Silva,jonatassilva@hotmail.com,46,913179212
Produto C,R$ 1200,Boleto Bancário,3,29/07/2018,Jhonn Costa,jhonncosta@yahoo.com,90,989806636
Produto B,R$ 750,Pix,5,02/01/2018,Samuel Pereira,samuelpereira@hotmail.com,91,974725076
Produto C,R$ 1000,Boleto Bancário,11,30/01/2018,Bianca Oliveira,biancaoliveira@gmail.com,18,923888335
Produto C,R$ 500,Cartão de Crédito,3,13/10/2018,Tonny Souza,tonnysouza@yahoo.com,42,942772111
Produto B,R$ 500,Pix,1,23/03/2018,Pedro Almeida,pedroalmeida@hotmail.com,58,967512941
Produto A,R$ 750,Boleto Bancário,4,28/01/2018,Lucas Almeida,lucasalmeida@gmail.com,19,920458381
Produto B,R$ 1200,Cartão de Crédito,7,06/04/2018,Jonatas Souza,jonatassouza@yahoo.com,50,929230977
Produto A,R$ 1200,Cartão de Crédito,4,02/07/2018,Danubia Santos,danubiasantos@gmail.com,28,915103710
Produto C,R$ 1200,Boleto Bancário,6,07/06/2018,Alefy Silva,alefysilva@gmail.com,92,953943255
Produto C,R$ 500,Boleto Bancário,6,29/09/2018,Danubia Oliveira,danubiaoliveira@outlook.com,68,909404111
Produto A,R$ 1000,Cartão de Crédito,10,14/04/2018,Bianca Martins,biancamartins@outlook.com,69,929338121
Produto A,R$ 500,Cartão de Crédito,2,31/12/2018,Presley Silva,presleysilva@hotmail.com,16,961466420
Produto B,R$ 750,Pix,6,06/04/2018,Samuel Costa,samuelcosta@outlook.com,91,960579181
Produto C,R$ 500,Boleto Bancário,12,09/10/2018,Tamires Santos,tamiressantos@gmail.com,47,992127187
Produto B,R$ 750,Cartão de Crédito,1,30/07/2018,Presley Costa,presleycosta@hotmail.com,82,921215109
Produto C,R$ 1200,Cartão de Crédito,3,18/02/2018,Tércio Santos,térciosantos@gmail.com,20,999415421
Produto A,R$ 500,Boleto Bancário,2,12/02/2018,Presley Santos,presleysantos@hotmail.com,20,925315590
Produto B,R$ 750,Boleto Bancário,5,22/01/2018,Tamires Oliveira,tamiresoliveira@yahoo.com,89,971943503
Produto A,R$ 500,Pix,7,31/01/2018,Tamires Oliveira,tamiresoliveira@gmail.com,30,917828131
Produto A,R$ 500,Pix,12,31/07/2018,Bianca Pereira,biancapereira@outlook.com,88,929083716
Produto A,R$ 500,Pix,2,12/05/2018,Presley Santos,presleysantos@outlook.com,74,951548830
Produto B,R$ 1200,Pix,1,03/10/2018,Samuel Silva,samuelsilva@gmail.com,75,960890087
Produto A,R$ 750,Cartão de Crédito,10,23/04/2018,Lucas Pereira,lucaspereira@outlook.com,93,901036892
Produto C,R$ 500,Boleto Bancário,3,04/08/2018,Danubia Silva,danubiasilva@gmail.com,50,901057917
Produto A,R$ 750,Pix,7,28/10/2018,Paula Almeida,paulaalmeida@outlook.com,72,905194766
Produto C,R$ 1200,Pix,11,19/05/2018,Tamires Oliveira,tamiresoliveira@yahoo.com,38,926080911
Produto B,R$ 1000,Cartão de Crédito,11,24/07/2018,Elaine Pereira,elainepereira@yahoo.com,14,916156978
Produto B,R$ 1200,Pix,2,31/01/2018,Lucas Oliveira,lucasoliveira@outlook.com,84,994235480
Produto A,R$ 1000,Boleto Bancário,4,06/08/2018,Rafael Martins,rafaelmartins@gmail.com,73,960489265
